City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,yeppoon,-23.1333,150.7333,26.88,41,8,0.99,AU,1681259423
84,butaritari,3.0707,172.7902,27.85,74,100,5.45,KI,1681259423
85,bredasdorp,-34.5322,20.0403,11.66,77,63,1.92,ZA,1681259423
86,iqaluit,63.7506,-68.5145,-7.15,86,100,8.75,CA,1681259424
87,burnie,-41.0667,145.9167,16.92,81,100,6.22,AU,1681259428
88,dingle,10.9995,122.6711,26.49,67,100,1.24,PH,1681259430
89,parati,-23.2178,-44.7131,20.97,95,53,1.22,BR,1681259430
90,geeste,52.6,7.2667,9.97,71,100,5.29,DE,1681259433
91,tuktoyaktuk,69.4541,-133.0374,-16.0,72,100,6.69,CA,1681259434
92,bac lieu,9.285,105.7244,27.7,76,75,1.57,VN,1681259389
93,salinas,36.6777,-121.6555,21.42,59,0,6.69,US,1681259436
94,airai,-8.9266,125.4092,22.36,65,47,0.48,TL,1681259438
95,provideniya,64.3833,-173.3,-16.94,51,0,8.0,RU,1681258964
96,la oroya,-11.5189,-75.8994,7.24,89,82,0.68,PE,1681259440
97,nikolskoye,59.7035,30.7861,6.56,84,100,1.33,RU,1681259440
98,lohja,60.2486,24.0653,4.15,71,100,1.82,FI,1681259440
99,tomatlan,19.9333,-105.25,25.59,49,2,3.15,MX,1681259441
100,arraial do cabo,-22.9661,-42.0278,22.98,78,75,3.09,BR,1681259323
101,honningsvag,70.9821,25.9704,0.86,69,100,5.66,NO,1681259442
102,mackenzie,55.2999,-123.1698,8.12,31,0,2.57,CA,1681259352
103,roura,4.7263,-52.3274,25.95,83,75,1.54,GF,1681259443
104,karoi,-16.8099,29.6925,15.36,96,71,2.14,ZW,1681259443
105,mar del plata,-38.0023,-57.5575,17.83,95,75,4.02,AR,1681259444
106,poplar bluff,36.757,-90.3929,21.85,35,0,2.06,US,1681259209
107,maiduguri,11.8464,13.1603,29.09,24,100,4.17,NG,1681259445
108,necochea,-38.5473,-58.7368,15.48,86,15,5.37,AR,1681259445
109,atbasar,51.8,68.3333,0.14,58,7,3.17,KZ,1681259446
110,mahebourg,-20.4081,57.7,26.25,94,75,0.51,MU,1681259446
111,dhidhdhoo,6.8833,73.1,28.47,71,7,3.66,MV,1681259447
112,oda,35.1833,132.5,13.43,60,76,5.69,JP,1681259447
113,barrow,71.2906,-156.7887,-20.99,77,40,4.63,US,1681259448
114,bluff,-46.6,168.3333,11.56,90,100,10.21,NZ,1681259448
115,takoradi,4.8845,-1.7554,26.65,87,100,3.84,GH,1681259448
116,leningradskiy,69.3833,178.4167,-16.7,88,98,4.09,RU,1681259169
117,beringovskiy,63.05,179.3167,-17.52,85,100,6.48,RU,1681259449
118,carnarvon,-24.8667,113.6333,22.68,47,5,7.99,AU,1681259449
119,ilulissat,69.2167,-51.1,5.01,45,20,7.2,GL,1681259449
120,trelew,-43.249,-65.3051,10.64,66,53,5.92,AR,1681259205
121,mercedes,-34.6515,-59.4307,23.77,54,95,2.89,AR,1681259450
122,ribeira grande,38.5167,-28.7,15.43,87,100,4.92,PT,1681259450
123,qandala,11.472,49.8728,28.02,69,1,3.56,SO,1681259247
124,lazaro cardenas,17.9583,-102.2,26.82,62,10,3.94,MX,1681259451
125,sisimiut,66.9395,-53.6735,-5.51,86,6,2.66,GL,1681259451
126,lovozero,68.005,35.0117,-2.84,94,100,3.31,RU,1681259452
127,georgetown,5.4112,100.3354,27.96,89,20,1.54,MY,1681259448
128,hermanus,-34.4187,19.2345,10.45,75,94,4.1,ZA,1681259452
129,kieta,-6.2167,155.6333,28.2,80,66,2.02,PG,1681259453
130,cidreira,-30.1811,-50.2056,23.02,86,81,6.4,BR,1681259453
131,yar-sale,66.8333,70.8333,-27.11,99,38,3.69,RU,1681259453
132,comodoro rivadavia,-45.8667,-67.5,4.92,56,0,2.57,AR,1681259328
133,staryy nadym,65.6118,72.6842,-24.79,99,86,3.26,RU,1681259454
134,jalu,29.0331,21.5482,13.33,71,0,5.91,LY,1681259454
135,eydhafushi,5.1033,73.0708,28.45,75,15,4.49,MV,1681259455
136,marsh harbour,26.5412,-77.0636,21.45,79,100,11.74,BS,1681259455
137,coquimbo,-29.9533,-71.3436,15.85,100,100,2.06,CL,1681259420
138,san quintin,30.4833,-115.95,15.37,77,9,6.02,MX,1681259455
139,puxinana,-7.1611,-35.9606,21.88,94,0,4.12,BR,1681259456
140,hofn,64.2539,-15.2082,4.43,66,100,4.75,IS,1681259456
141,kenai,60.5544,-151.2583,1.05,91,100,3.09,US,1681259451
142,limoges,45.75,1.3333,9.31,81,0,6.69,FR,1681259457
143,tucuma,-0.1833,-50.05,24.97,87,100,1.71,BR,1681259457
144,vanimo,-2.6741,141.3028,24.71,90,100,0.84,PG,1681259457
145,thinadhoo,0.5333,72.9333,27.76,73,69,1.28,MV,1681259457
146,saldanha,-33.0117,17.9442,10.03,75,99,2.57,ZA,1681259457
147,fortuna,40.5982,-124.1573,12.74,66,7,2.68,US,1681259458
148,petropavlovsk-kamchatskiy,53.0452,158.6483,1.33,48,20,2.0,RU,1681259458
149,imbituba,-28.24,-48.6703,20.53,88,8,5.39,BR,1681259458
150,port antonio,18.18,-76.4612,27.95,83,5,3.18,JM,1681259459
151,bakel,14.905,-12.4568,29.4,39,72,2.58,SN,1681259459
152,torbay,47.6666,-52.7314,3.43,53,75,4.63,CA,1681259425
153,aksu,41.1231,80.2644,11.37,40,41,2.75,CN,1681259460
154,bestobe,52.4994,73.0975,-0.24,53,3,3.6,KZ,1681259460
155,cozumel,20.5083,-86.9458,28.04,74,20,2.68,MX,1681259460
156,port elizabeth,-33.918,25.5701,12.16,86,0,2.57,ZA,1681259460
157,inirida,3.8653,-67.9239,25.8,83,99,1.44,CO,1681259461
158,herat,34.5,62.0,18.19,25,68,1.08,AF,1681259172
159,san cristobal,7.7669,-72.225,24.1,87,88,0.76,VE,1681259461
160,bolshoye selo,57.7177,38.9334,5.09,70,97,1.72,RU,1681259462
161,tasiilaq,65.6145,-37.6368,1.09,98,100,0.48,GL,1681259462
162,guiratinga,-16.3494,-53.7583,22.29,88,97,1.33,BR,1681259463
163,vardo,70.3705,31.1107,0.99,64,100,8.23,NO,1681259215
164,hilo,19.7297,-155.09,25.85,72,0,5.66,US,1681259213
165,tiksi,71.6872,128.8694,-22.62,100,99,0.4,RU,1681259191
166,dombas,62.0696,9.1235,1.32,99,99,2.82,NO,1681259467
167,casteldaccia,38.0526,13.5287,14.57,51,10,3.58,IT,1681259468
168,kuopio,62.8924,27.677,-0.1,90,0,0.51,FI,1681259469
169,zhigansk,66.7697,123.3711,-17.43,87,10,3.1,RU,1681259469
170,gat,31.61,34.7642,12.67,100,91,6.96,IL,1681259470
171,abu zabad,12.35,29.25,28.94,14,81,2.07,SD,1681259190
